module_category	original_path	new_path	file_type	action	reason
qc	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/run_gwas_pipeline.sh		.sh	copy	reusable script
covariates	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/soybean_pca.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/complete_pca.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/Sub_pca.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/subgroup_pca.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/01_plink/04_pca/group_pca.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas/workflow/output/kinship.cXX.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas/workflow/output/kinship.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas/workflow/output/gwas_protein_results.log.txt		.txt	copy	configuration/template file
association	/data03/karama/soybean_gwas/workflow/output/run_smr.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/output/gwas_oil_results.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas/workflow/output/gwas_size_results.log.txt		.txt	copy	configuration/template file
association	/data03/karama/soybean_gwas/workflow/output/plot_single_manhattan.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas/workflow/output/clean_gwas_data.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas/workflow/output/gwas_protein_results.clean.txt		.txt	skip	data file
association	/data03/karama/soybean_gwas/workflow/output/gwas_oil_results.clean.txt		.txt	skip	data file
association	/data03/karama/soybean_gwas/workflow/output/gwas_size_results.clean.txt		.txt	skip	data file
transforms	/data03/karama/soybean_gwas/workflow/output/Stacked_Manhattan_Plot.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/output/SMR_clean.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas/workflow/output/generate_qq_plots.py		.py	copy	reusable script
unknown	/data03/karama/soybean_gwas/workflow/output/oil_smr_ready.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/workflow/output/protein_smr_ready.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/workflow/output/size_smr_ready.txt		.txt	skip	data file
association	/data03/karama/soybean_gwas/workflow/output/bonferroni.py		.py	copy	reusable script
unknown	/data03/karama/soybean_gwas/workflow/phenotypes/oil.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/workflow/phenotypes/size.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/workflow/phenotypes/size_fixed.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/workflow/phenotypes/oil_fixed.txt		.txt	skip	data file
cross_trait	/data03/karama/soybean_gwas/workflow/phenotypes/size_final.txt		.txt	skip	data file
cross_trait	/data03/karama/soybean_gwas/workflow/phenotypes/oil_final.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas/results/03_joint/sample_map.txt		.txt	skip	data file (numeric table)
